batch_number,status,title,template_type,volume,kdi,tier,cluster_capture_potential,proposed_article_title,page_purpose,category
0,published,Homepage,homepage,,,,,Homepage,site_infrastructure,
0,published,Kitchen Measurement Conversion Calculator,tool_page,65270.0,37.875,Tier 2+,65270.0,Kitchen Measurement Conversion Calculator,tool_page,Tool 1: Conversion
0,published,Cooking Time & Temperature Guide,tool_page,20990.0,44.71428571428572,Tier 2+,20990.0,Cooking Time & Temperature Guide,tool_page,Tool 2: Time/Temp
0,published,Custom Recipe Generator,tool_page,19110.0,45.5,Tier 2+,19110.0,Custom Recipe Generator,tool_page,Tool 3: Recipe Generator
1,published,chives,ingredient_hub,135000.0,26.0,Tier 1,135000.0,Chive Recipe,seo_target,
1,published,recipe for banana nut bread,recipe_or_dish,135000.0,27.0,Tier 1,135000.0,Banana Nut Bread Recipe,seo_target,
1,published,Gluten Free Bread Recipe,recipe_or_dish,135000.0,22.0,Tier 1,135000.0,Gluten Free Bread Recipe,seo_target,
1,published,hugo spritz,ingredient_hub,135000.0,25.0,Tier 1,135000.0,Hugo Spritz Recipe,seo_target,
1,published,cappuccino vs latte,comparison,135000.0,26.0,Tier 1,135000.0,Cappuccino vs. Latte: What's the Difference?,seo_target,
1,published,how to make matcha latte,howto_technique,110000.0,29.0,Tier 1,110000.0,Matcha Latte Recipe,seo_target,
1,published,how to make cold foam,howto_technique,110000.0,29.0,Tier 1,110000.0,Cold Foam Recipe,seo_target,
1,published,how to cook spaghetti squash,howto_technique,110000.0,29.0,Tier 1,110000.0,Spaghetti Squash Recipe,seo_target,
1,published,picnic ideas for couples,recipe_or_dish,110000.0,28.0,Tier 1,110000.0,Picnic Idea Couple Recipe,seo_target,
1,published,rice cakes,ingredient_hub,110000.0,28.0,Tier 1,110000.0,Rice Cake Recipe,seo_target,
1,published,Nigiri,ingredient_hub,110000.0,27.0,Tier 1,110000.0,Nigiri Recipe,seo_target,
1,published,how to make cold brew concentrate,howto_technique,110000.0,26.0,Tier 1,110000.0,Cold Brew Concentrate Recipe,seo_target,
1,published,how to roast sweet peppers,howto_technique,110000.0,17.0,Tier 1,110000.0,Roast Sweet Pepper Recipe,seo_target,
1,published,gluten free dessert recipes,recipe_or_dish,110000.0,20.0,Tier 1,110000.0,Gluten Free Dessert Recipe,seo_target,
1,published,How to Make Garlic Confit,howto_technique,110000.0,22.0,Tier 1,110000.0,Garlic Confit Recipe,seo_target,
1,published,How to Make Chai Tea,howto_technique,90500.0,24.0,Tier 1,90500.0,Chai Tea Recipe,seo_target,
1,published,celtic salt,ingredient_hub,90500.0,23.0,Tier 1,90500.0,Celtic Salt Recipe,seo_target,
1,published,how to brew green tea,howto_technique,90500.0,20.0,Tier 1,90500.0,Brew Green Tea Recipe,seo_target,
1,published,how to season a wok,howto_technique,90500.0,20.0,Tier 1,90500.0,Season Wok Recipe,seo_target,
1,published,how to steam vegetables,howto_technique,90500.0,25.0,Tier 1,90500.0,Steam Vegetable Recipe,seo_target,
1,published,oysters,ingredient_hub,90500.0,26.0,Tier 1,90500.0,Oyster Recipe,seo_target,
1,published,Pepperoncini,ingredient_hub,90500.0,21.0,Tier 1,90500.0,Pepperoncini Recipe,seo_target,
1,published,Guanciale,ingredient_hub,90500.0,28.0,Tier 1,90500.0,Guanciale Recipe,seo_target,
1,published,how to saute spinach,howto_technique,90500.0,28.0,Tier 1,90500.0,Saute Spinach Recipe,seo_target,
1,published,grinch meal,ingredient_hub,74000.0,29.0,Tier 1,74000.0,grinch meal,seo_target,brand_news_reactive
1,published,kielbasa,ingredient_hub,74000.0,28.0,Tier 1,74000.0,Kielbasa Recipe,seo_target,
1,excluded_duplicate,gluten-free desserts,recipe_or_dish,74000.0,22.0,Tier 1,74000.0,Glutenfree Dessert Recipe,seo_target,
1,published,creme fraiche,ingredient_hub,74000.0,24.0,Tier 1,74000.0,Creme Fraiche Recipe,seo_target,
1,published,gruyere cheese,ingredient_hub,74000.0,27.0,Tier 1,74000.0,Gruyere Cheese Recipe,seo_target,
1,published,balsamic vinegar,ingredient_hub,74000.0,25.0,Tier 1,74000.0,Balsamic Vinegar Recipe,seo_target,
1,published,jam,ingredient_hub,74000.0,27.0,Tier 1,74000.0,Jam Recipe,seo_target,
1,published,easy cuban recipes at home,recipe_or_dish,74000.0,20.0,Tier 1,74000.0,Cuban at Home Recipe,seo_target,
1,published,manhattan recipe,recipe_or_dish,74000.0,26.0,Tier 1,74000.0,Manhattan Recipe,seo_target,
1,published,how to make soup stock,howto_technique,74000.0,17.0,Tier 1,74000.0,Soup Stock Recipe,seo_target,
1,excluded_duplicate,corn starch,ingredient_hub,74000.0,20.0,Tier 1,74000.0,Corn Starch Recipe,seo_target,
1,published,ground chicken recipes,recipe_or_dish,74000.0,25.0,Tier 1,74000.0,Ground Chicken Recipe,seo_target,
1,published,feta cheese,ingredient_hub,74000.0,20.0,Tier 1,74000.0,Feta Cheese Recipe,seo_target,
1,published,burgers,ingredient_hub,74000.0,26.0,Tier 1,74000.0,Burger Recipe,seo_target,
1,published,chateaubriand,ingredient_hub,74000.0,24.0,Tier 1,74000.0,Chateaubriand Recipe,seo_target,
1,published,how much caffeine in a cup of coffee,howto_technique,74000.0,29.0,Tier 1,74000.0,How Much Caffeine Cup Coffee Recipe,seo_target,
1,published,andouille sausage,ingredient_hub,74000.0,28.0,Tier 1,74000.0,Andouille Sausage Recipe,seo_target,
1,published,eggplant recipes,category_roundup,74000.0,22.0,Tier 1,74000.0,Eggplant Recipe,seo_target,
1,published,easy peruvian recipes at home,recipe_or_dish,74000.0,23.0,Tier 1,74000.0,Peruvian at Home Recipe,seo_target,
1,published,gorditas,ingredient_hub,74000.0,23.0,Tier 1,74000.0,Gordita Recipe,seo_target,
1,published,Soppressata,ingredient_hub,74000.0,26.0,Tier 1,74000.0,Soppressata Recipe,seo_target,
1,published,charcuterie board ideas,recipe_or_dish,74000.0,26.0,Tier 1,74000.0,Charcuterie Board Idea Recipe,seo_target,
1,published,how to use a pressure cooker,howto_technique,74000.0,25.0,Tier 1,74000.0,Use Pressure Cooker Recipe,seo_target,
1,published,how to frost a cake,howto_technique,74000.0,19.0,Tier 1,74000.0,Frost Cake Recipe,seo_target,
1,published,easy finnish recipes at home,recipe_or_dish,60500.0,16.0,Tier 1,60500.0,Finnish at Home Recipe,seo_target,
1,published,bread flour,ingredient_hub,60500.0,19.0,Tier 1,60500.0,Bread Flour Recipe,seo_target,
1,published,arroz con leche,recipe_or_dish,60500.0,28.0,Tier 1,60500.0,Arroz Con Leche Recipe,seo_target,
1,published,pepperoni,ingredient_hub,60500.0,26.0,Tier 1,60500.0,Pepperoni Recipe,seo_target,
1,published,Kahlua,ingredient_hub,60500.0,28.0,Tier 1,60500.0,Kahlua Recipe,seo_target,
1,excluded_duplicate,pecorino,ingredient_hub,60500.0,24.0,Tier 1,60500.0,Pecorino Recipe,seo_target,
1,published,nduja,ingredient_hub,60500.0,25.0,Tier 1,60500.0,Nduja Recipe,seo_target,
1,published,pomodoro sauce,ingredient_hub,60500.0,28.0,Tier 1,60500.0,Pomodoro Sauce Recipe,seo_target,
1,published,asiago,ingredient_hub,60500.0,22.0,Tier 1,60500.0,Asiago Recipe,seo_target,
1,published,mexican cheese,ingredient_hub,60500.0,19.0,Tier 1,60500.0,Mexican Cheese Recipe,seo_target,
1,published,unagi,ingredient_hub,60500.0,27.0,Tier 1,60500.0,Unagi Recipe,seo_target,
1,published,easy swedish recipes at home,recipe_or_dish,60500.0,29.0,Tier 1,60500.0,Swedish at Home Recipe,seo_target,
1,published,branzino fish,ingredient_hub,60500.0,21.0,Tier 1,60500.0,Branzino Fish Recipe,seo_target,
1,published,pani puri,ingredient_hub,60500.0,22.0,Tier 1,60500.0,Pani Puri Recipe,seo_target,
1,published,mustard seed,ingredient_hub,60500.0,26.0,Tier 1,60500.0,"Mustard Seed: Uses, Substitutes & Recipes",seo_target,herbs_spices
1,published,lard,ingredient_hub,60500.0,22.0,Tier 1,60500.0,Lard Recipe,seo_target,
1,published,best inexpensive wines,recipe_or_dish,60500.0,16.0,Tier 1,60500.0,Inexpensive Wine Recipe,seo_target,
1,published,best soups for winter,recipe_or_dish,60500.0,24.0,Tier 1,60500.0,Soup Winter Recipe,seo_target,
1,published,vegan meal prep ideas,recipe_or_dish,60500.0,21.0,Tier 1,60500.0,Vegan Meal Prep Idea Recipe,seo_target,
1,published,maracuya,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Maracuya Recipe,seo_target,
