batch_number,title,template_type,proposed_article_title,kdi,tier,category
1,Gluten Free Bread Recipe,recipe_or_dish,Gluten Free Bread Recipe,22.0,Tier 1,
1,picnic ideas for couples,recipe_or_dish,Picnic Idea Couple Recipe,28.0,Tier 1,
1,gluten free dessert recipes,recipe_or_dish,Gluten Free Dessert Recipe,20.0,Tier 1,
1,gluten-free desserts,recipe_or_dish,Glutenfree Dessert Recipe,22.0,Tier 1,
1,easy cuban recipes at home,recipe_or_dish,Cuban at Home Recipe,20.0,Tier 1,
1,manhattan recipe,recipe_or_dish,Manhattan Recipe,26.0,Tier 1,
1,ground chicken recipes,recipe_or_dish,Ground Chicken Recipe,25.0,Tier 1,
1,easy peruvian recipes at home,recipe_or_dish,Peruvian at Home Recipe,23.0,Tier 1,
1,charcuterie board ideas,recipe_or_dish,Charcuterie Board Idea Recipe,26.0,Tier 1,
1,easy finnish recipes at home,recipe_or_dish,Finnish at Home Recipe,16.0,Tier 1,
1,easy swedish recipes at home,recipe_or_dish,Swedish at Home Recipe,29.0,Tier 1,
1,best inexpensive wines,recipe_or_dish,Inexpensive Wine Recipe,16.0,Tier 1,
1,best soups for winter,recipe_or_dish,Soup Winter Recipe,24.0,Tier 1,
1,vegan meal prep ideas,recipe_or_dish,Vegan Meal Prep Idea Recipe,21.0,Tier 1,
1,purple sweet potato,recipe_or_dish,Purple Sweet Potato Recipe,22.0,Tier 1,
1,hugo spritz,ingredient_hub,Hugo Spritz Recipe,25.0,Tier 1,
1,rice cakes,ingredient_hub,Rice Cake Recipe,28.0,Tier 1,
1,Nigiri,ingredient_hub,Nigiri Recipe,27.0,Tier 1,
1,Pepperoncini,ingredient_hub,Pepperoncini Recipe,21.0,Tier 1,
1,Guanciale,ingredient_hub,Guanciale Recipe,28.0,Tier 1,
1,grinch meal,ingredient_hub,grinch meal,29.0,Tier 1,brand_news_reactive
1,creme fraiche,ingredient_hub,Creme Fraiche Recipe,24.0,Tier 1,
1,gruyere cheese,ingredient_hub,Gruyere Cheese Recipe,27.0,Tier 1,
1,jam,ingredient_hub,Jam Recipe,27.0,Tier 1,
1,corn starch,ingredient_hub,Corn Starch Recipe,20.0,Tier 1,
1,burgers,ingredient_hub,Burger Recipe,26.0,Tier 1,
1,chateaubriand,ingredient_hub,Chateaubriand Recipe,24.0,Tier 1,
1,andouille sausage,ingredient_hub,Andouille Sausage Recipe,28.0,Tier 1,
1,gorditas,ingredient_hub,Gordita Recipe,23.0,Tier 1,
1,Soppressata,ingredient_hub,Soppressata Recipe,26.0,Tier 1,
1,how to make matcha latte,howto_technique,Matcha Latte Recipe,29.0,Tier 1,
1,how to make cold foam,howto_technique,Cold Foam Recipe,29.0,Tier 1,
1,how to roast sweet peppers,howto_technique,Roast Sweet Pepper Recipe,17.0,Tier 1,
1,How to Make Garlic Confit,howto_technique,Garlic Confit Recipe,22.0,Tier 1,
1,How to Make Chai Tea,howto_technique,Chai Tea Recipe,24.0,Tier 1,
1,how to brew green tea,howto_technique,Brew Green Tea Recipe,20.0,Tier 1,
1,how to steam vegetables,howto_technique,Steam Vegetable Recipe,25.0,Tier 1,
1,how to saute spinach,howto_technique,Saute Spinach Recipe,28.0,Tier 1,
1,what is dubai chocolate,definition,What Is Dubai Chocolate? (And How to Use It),29.0,Tier 1,
1,what is machaca,definition,What Is Machaca? (And How to Use It),28.0,Tier 1,
1,what is a latte,definition,What Is Latte? (And How to Use It),24.0,Tier 1,
1,what is caviar,definition,What Is Caviar? (And How to Use It),25.0,Tier 1,
1,what is boba,definition,What Is Boba? (And How to Use It),25.0,Tier 1,
1,nigiri vs sashimi,comparison,Nigiri vs. Sashimi: What's the Difference?,14.0,Tier 1,
1,chow mein vs lo mein,comparison,Chow Mein vs. Lo Mein: What's the Difference?,27.0,Tier 1,
1,diet coke vs coke zero,comparison,Diet Coke vs. Coke Zero: What's the Difference?,27.0,Tier 1,
1,blackstone recipes,category_roundup,Blackstone Recipe,23.0,Tier 1,
2,pinwheel recipes,category_roundup,Pinwheel Recipe,28.0,Tier 1,
2,tomato paste substitute,substitute,Best Substitutes for Tomato Paste,29.0,Tier 1,
3,hoisin sauce substitute,substitute,Best Substitutes for Hoisin Sauce,25.0,Tier 1,
